iter	Passed	Remaining
0	59	59806
1	62	30966
2	64	21309
3	65	16416
4	67	13470
5	69	11494
6	71	10083
7	72	9028
8	74	8228
9	76	7581
10	79	7115
11	81	6681
12	83	6344
13	85	6019
14	86	5712
15	88	5444
16	90	5210
17	91	4999
18	93	4832
19	95	4674
20	97	4526
21	98	4381
22	100	4258
23	102	4162
24	103	4053
25	105	3955
26	107	3858
27	108	3771
28	110	3706
29	112	3645
30	115	3596
31	116	3532
32	118	3472
33	120	3413
34	121	3359
35	123	3300
36	124	3249
37	128	3248
38	134	3309
39	136	3285
40	139	3267
41	142	3253
42	145	3244
43	149	3242
44	152	3240
45	155	3234
46	158	3215
47	161	3208
48	165	3211
49	168	3192
50	171	3195
51	176	3210
52	178	3186
53	180	3160
54	183	3153
55	188	3185
56	194	3210
57	197	3200
58	198	3171
59	200	3141
60	202	3109
61	203	3082
62	205	3055
63	207	3038
64	209	3017
65	211	2991
66	213	2969
67	214	2944
68	216	2919
69	217	2894
70	219	2870
71	220	2848
72	222	2826
73	224	2806
74	226	2789
75	227	2769
76	229	2749
77	230	2729
78	232	2714
79	235	2702
80	236	2684
81	238	2666
82	240	2657
83	242	2649
84	244	2634
85	246	2619
86	248	2603
87	249	2589
88	251	2572
89	253	2559
90	254	2544
91	257	2541
92	259	2526
93	260	2512
94	262	2499
95	263	2485
96	265	2471
97	266	2457
98	268	2443
99	270	2431
100	271	2419
101	274	2418
102	276	2408
103	278	2396
104	279	2385
105	281	2374
106	283	2364
107	284	2353
108	286	2343
109	288	2332
110	290	2324
111	291	2314
112	293	2304
113	295	2296
114	297	2287
115	298	2277
116	300	2268
117	302	2258
118	304	2250
119	306	2247
120	308	2240
121	309	2230
122	311	2222
123	313	2212
124	314	2204
125	316	2195
126	318	2187
127	319	2177
128	321	2173
129	323	2166
130	325	2157
131	326	2148
132	328	2140
133	329	2131
134	331	2123
135	333	2116
136	334	2107
137	336	2101
138	338	2097
139	340	2090
140	341	2082
141	343	2077
142	345	2069
143	347	2063
144	348	2055
145	350	2048
146	351	2041
147	353	2037
148	355	2029
149	356	2022
150	358	2016
151	360	2010
152	362	2004
153	363	1997
154	365	1990
155	366	1983
156	369	1981
157	370	1975
158	372	1970
159	374	1968
160	376	1961
161	377	1955
162	379	1949
163	380	1942
164	382	1936
165	384	1931
166	386	1927
167	388	1922
168	389	1917
169	391	1911
170	393	1905
171	394	1900
172	396	1895
173	398	1890
174	399	1885
175	401	1880
176	403	1876
177	405	1872
178	407	1867
179	408	1862
180	410	1856
181	411	1851
182	413	1847
183	415	1841
184	416	1836
185	418	1832
186	420	1828
187	422	1823
188	423	1817
189	425	1813
190	426	1807
191	428	1802
192	429	1797
193	431	1792
194	433	1787
195	436	1792
196	438	1789
197	440	1784
198	442	1780
199	443	1775
200	445	1770
201	446	1765
202	448	1761
203	450	1757
204	452	1753
205	453	1749
206	455	1744
207	456	1739
208	458	1734
209	459	1729
210	461	1724
211	462	1720
212	464	1716
213	466	1713
214	468	1711
215	470	1707
216	472	1705
217	474	1702
218	476	1697
219	477	1693
220	479	1691
221	481	1687
222	483	1683
223	485	1680
224	486	1675
225	487	1670
226	489	1666
227	491	1664
228	493	1660
229	494	1655
230	496	1651
231	497	1646
232	499	1644
233	501	1642
234	503	1639
235	505	1636
236	507	1632
237	508	1629
238	510	1625
239	512	1621
240	514	1618
241	515	1615
242	517	1613
243	519	1610
244	521	1606
245	523	1603
246	524	1599
247	526	1595
248	527	1591
249	529	1587
250	530	1584
251	532	1581
252	535	1580
253	537	1578
254	539	1576
255	541	1572
256	542	1568
257	544	1566
258	546	1562
259	547	1559
260	549	1557
261	551	1554
262	554	1553
263	555	1549
264	557	1545
265	558	1542
266	560	1538
267	562	1535
268	563	1531
269	566	1530
270	568	1528
271	569	1525
272	571	1521
273	573	1518
274	575	1516
275	576	1512
276	578	1509
277	580	1506
278	582	1504
279	583	1500
280	585	1497
281	586	1494
282	588	1490
283	590	1487
284	591	1484
285	593	1480
286	594	1477
287	596	1475
288	599	1474
289	601	1471
290	602	1468
291	604	1465
292	605	1461
293	607	1458
294	609	1455
295	610	1452
296	613	1451
297	614	1448
298	616	1445
299	617	1441
300	619	1438
301	621	1435
302	622	1432
303	624	1429
304	625	1425
305	627	1422
306	629	1419
307	630	1416
308	632	1414
309	634	1411
310	635	1408
311	637	1405
312	639	1402
313	640	1399
314	642	1396
315	643	1393
316	645	1391
317	647	1388
318	648	1385
319	650	1382
320	652	1379
321	654	1377
322	655	1374
323	657	1371
324	658	1368
325	660	1365
326	662	1363
327	663	1360
328	665	1357
329	667	1354
330	669	1352
331	670	1349
332	672	1347
333	674	1344
334	675	1341
335	677	1339
336	679	1336
337	680	1333
338	682	1330
339	684	1327
340	685	1325
341	687	1322
342	689	1319
343	690	1316
344	692	1314
345	694	1312
346	696	1309
347	697	1307
348	699	1305
349	701	1302
350	702	1299
351	704	1297
352	706	1294
353	707	1291
354	709	1289
355	711	1287
356	713	1284
357	714	1281
358	716	1279
359	718	1276
360	719	1274
361	721	1271
362	722	1268
363	724	1265
364	726	1264
365	728	1262
366	730	1259
367	732	1257
368	734	1255
369	735	1252
370	737	1250
371	739	1248
372	741	1245
373	743	1244
374	746	1243
375	747	1240
376	749	1238
377	750	1235
378	752	1232
379	754	1230
380	755	1227
381	757	1225
382	759	1224
383	761	1221
384	763	1218
385	764	1216
386	766	1213
387	767	1210
388	769	1208
389	770	1205
390	772	1203
391	774	1200
392	776	1199
393	778	1196
394	779	1194
395	781	1191
396	782	1189
397	784	1186
398	785	1183
399	787	1181
400	789	1179
401	792	1178
402	793	1175
403	795	1173
404	796	1170
405	798	1168
406	800	1165
407	801	1163
408	803	1160
409	805	1158
410	806	1156
411	808	1154
412	810	1151
413	811	1148
414	812	1145
415	814	1143
416	815	1140
417	817	1138
418	818	1135
419	820	1133
420	822	1131
421	824	1128
422	825	1126
423	827	1124
424	829	1122
425	830	1119
426	832	1117
427	833	1114
428	835	1111
429	836	1109
430	838	1107
431	840	1105
432	841	1102
433	843	1100
434	845	1097
435	846	1095
436	848	1092
437	849	1090
438	851	1087
439	852	1085
440	854	1083
441	856	1081
442	858	1079
443	860	1077
444	861	1074
445	863	1073
446	865	1070
447	867	1068
448	868	1065
449	870	1063
450	872	1062
451	874	1059
452	875	1057
453	877	1054
454	878	1052
455	880	1050
456	881	1047
457	883	1045
458	885	1043
459	886	1040
460	889	1040
461	891	1038
462	893	1036
463	895	1033
464	896	1031
465	898	1029
466	899	1026
467	901	1024
468	902	1022
469	904	1019
470	906	1017
471	908	1016
472	909	1013
473	911	1011
474	913	1009
475	914	1007
476	916	1004
477	918	1002
478	920	1000
479	922	999
480	924	997
481	926	995
482	928	993
483	929	991
484	931	988
485	932	986
486	934	984
487	935	981
488	938	980
489	940	978
490	941	976
491	943	973
492	944	971
493	946	969
494	947	966
495	949	964
496	950	962
497	952	960
498	955	959
499	957	957
500	958	954
501	960	952
502	961	950
503	962	947
504	964	945
505	965	942
506	967	940
507	970	940
508	972	937
509	973	935
510	975	933
511	977	931
512	978	929
513	980	926
514	981	924
515	983	922
516	987	922
517	989	920
518	991	918
519	992	916
520	994	914
521	996	912
522	997	910
523	999	907
524	1001	905
525	1002	903
526	1004	901
527	1006	899
528	1007	897
529	1009	894
530	1011	892
531	1012	890
532	1014	888
533	1015	886
534	1017	884
535	1019	882
536	1021	880
537	1023	878
538	1024	876
539	1026	874
540	1027	872
541	1029	869
542	1030	867
543	1032	865
544	1033	863
545	1036	861
546	1037	859
547	1039	857
548	1040	855
549	1042	852
550	1043	850
551	1045	848
552	1046	846
553	1048	844
554	1051	843
555	1054	842
556	1056	840
557	1058	838
558	1060	836
559	1062	834
560	1064	833
561	1067	832
562	1069	830
563	1071	828
564	1073	826
565	1074	823
566	1076	821
567	1077	819
568	1078	817
569	1080	814
570	1081	812
571	1084	811
572	1086	809
573	1088	807
574	1090	805
575	1091	803
576	1093	801
577	1094	799
578	1096	797
579	1097	795
580	1099	793
581	1101	791
582	1103	789
583	1104	786
584	1106	784
585	1107	782
586	1109	780
587	1110	778
588	1112	776
589	1113	773
590	1115	772
591	1117	770
592	1119	768
593	1121	766
594	1122	764
595	1124	762
596	1125	760
597	1127	757
598	1128	755
599	1130	753
600	1132	751
601	1134	749
602	1135	747
603	1137	745
604	1138	743
605	1140	741
606	1141	739
607	1143	737
608	1144	735
609	1146	732
610	1147	730
611	1149	729
612	1151	727
613	1153	725
614	1155	723
615	1157	721
616	1158	719
617	1160	717
618	1161	714
619	1163	713
620	1165	711
621	1166	709
622	1168	706
623	1169	704
624	1171	702
625	1173	700
626	1174	698
627	1175	696
628	1177	694
629	1179	692
630	1184	692
631	1186	690
632	1187	688
633	1189	686
634	1191	684
635	1192	682
636	1194	680
637	1196	679
638	1198	677
639	1200	675
640	1202	673
641	1204	671
642	1205	669
643	1206	667
644	1208	665
645	1210	663
646	1212	661
647	1215	660
648	1216	658
649	1219	656
650	1220	654
651	1222	652
652	1223	650
653	1225	648
654	1226	646
655	1228	644
656	1230	642
657	1232	640
658	1233	638
659	1235	636
660	1236	634
661	1238	632
662	1239	630
663	1240	627
664	1242	625
665	1243	623
666	1245	622
667	1248	620
668	1249	618
669	1250	616
670	1252	614
671	1254	612
672	1255	610
673	1257	608
674	1258	606
675	1260	604
676	1262	602
677	1264	600
678	1265	598
679	1266	596
680	1268	594
681	1269	592
682	1271	590
683	1272	588
684	1274	585
685	1275	583
686	1277	582
687	1279	580
688	1282	578
689	1284	576
690	1285	574
691	1287	572
692	1288	570
693	1290	568
694	1291	566
695	1293	565
696	1296	563
697	1297	561
698	1299	559
699	1300	557
700	1302	555
701	1303	553
702	1305	551
703	1306	549
704	1308	547
705	1309	545
706	1311	543
707	1313	541
708	1315	539
709	1316	537
710	1318	535
711	1319	533
712	1321	531
713	1323	529
714	1325	528
715	1327	526
716	1328	524
717	1331	523
718	1334	521
719	1338	520
720	1341	519
721	1344	517
722	1349	516
723	1352	515
724	1354	513
725	1357	512
726	1360	510
727	1363	509
728	1366	507
729	1369	506
730	1371	504
731	1374	503
732	1377	501
733	1380	500
734	1382	498
735	1384	496
736	1387	495
737	1394	495
738	1397	493
739	1399	491
740	1401	489
741	1402	487
742	1404	485
743	1406	483
744	1408	482
745	1411	480
746	1412	478
747	1414	476
748	1415	474
749	1417	472
750	1419	470
751	1421	468
752	1423	466
753	1425	464
754	1426	462
755	1428	460
756	1429	458
757	1431	456
758	1432	454
759	1433	452
760	1435	450
761	1436	448
762	1438	446
763	1441	445
764	1442	443
765	1444	441
766	1446	439
767	1447	437
768	1449	435
769	1450	433
770	1452	431
771	1453	429
772	1456	427
773	1457	425
774	1459	423
775	1461	421
776	1462	419
777	1464	417
778	1465	415
779	1467	413
780	1469	411
781	1470	410
782	1473	408
783	1475	406
784	1476	404
785	1478	402
786	1479	400
787	1481	398
788	1482	396
789	1484	394
790	1486	392
791	1488	390
792	1489	388
793	1491	386
794	1492	384
795	1494	382
796	1495	380
797	1496	378
798	1498	376
799	1499	374
800	1500	372
801	1502	370
802	1504	369
803	1506	367
804	1508	365
805	1510	363
806	1511	361
807	1513	359
808	1514	357
809	1515	355
810	1517	353
811	1518	351
812	1520	349
813	1522	347
814	1524	346
815	1525	344
816	1527	342
817	1528	340
818	1530	338
819	1531	336
820	1532	334
821	1534	332
822	1535	330
823	1538	328
824	1539	326
825	1541	324
826	1543	322
827	1545	321
828	1546	319
829	1548	317
830	1549	315
831	1551	313
832	1552	311
833	1554	309
834	1556	307
835	1557	305
836	1559	303
837	1560	301
838	1562	299
839	1563	297
840	1565	295
841	1566	294
842	1569	292
843	1571	290
844	1573	288
845	1574	286
846	1576	284
847	1577	282
848	1578	280
849	1580	278
850	1581	276
851	1583	275
852	1585	273
853	1587	271
854	1588	269
855	1590	267
856	1591	265
857	1593	263
858	1594	261
859	1596	259
860	1597	257
861	1599	256
862	1600	254
863	1602	252
864	1604	250
865	1606	248
866	1608	246
867	1609	244
868	1611	242
869	1612	240
870	1614	239
871	1615	237
872	1617	235
873	1619	233
874	1620	231
875	1621	229
876	1623	227
877	1625	225
878	1626	223
879	1628	222
880	1629	220
881	1630	218
882	1632	216
883	1633	214
884	1635	212
885	1637	210
886	1640	208
887	1641	207
888	1643	205
889	1644	203
890	1646	201
891	1648	199
892	1649	197
893	1651	195
894	1653	193
895	1654	192
896	1656	190
897	1657	188
898	1659	186
899	1660	184
900	1661	182
901	1663	180
902	1664	178
903	1667	177
904	1669	175
905	1671	173
906	1672	171
907	1674	169
908	1675	167
909	1677	165
910	1679	164
911	1680	162
912	1682	160
913	1683	158
914	1685	156
915	1687	154
916	1688	152
917	1690	150
918	1691	149
919	1693	147
920	1694	145
921	1696	143
922	1698	141
923	1700	139
924	1702	138
925	1704	136
926	1706	134
927	1708	132
928	1709	130
929	1711	128
930	1712	126
931	1714	125
932	1716	123
933	1717	121
934	1719	119
935	1721	117
936	1723	115
937	1724	114
938	1726	112
939	1727	110
940	1729	108
941	1730	106
942	1732	104
943	1734	102
944	1736	101
945	1737	99
946	1739	97
947	1741	95
948	1742	93
949	1744	91
950	1746	89
951	1747	88
952	1749	86
953	1751	84
954	1752	82
955	1754	80
956	1755	78
957	1757	77
958	1759	75
959	1761	73
960	1762	71
961	1764	69
962	1766	67
963	1767	66
964	1769	64
965	1770	62
966	1772	60
967	1774	58
968	1775	56
969	1777	54
970	1779	53
971	1781	51
972	1782	49
973	1784	47
974	1785	45
975	1787	43
976	1788	42
977	1790	40
978	1791	38
979	1793	36
980	1794	34
981	1796	32
982	1798	31
983	1799	29
984	1801	27
985	1803	25
986	1805	23
987	1806	21
988	1808	20
989	1809	18
990	1811	16
991	1813	14
992	1814	12
993	1816	10
994	1817	9
995	1819	7
996	1821	5
997	1822	3
998	1824	1
999	1825	0
