iter	Passed	Remaining
0	63	63489
1	65	32568
2	66	22202
3	68	16977
4	69	13828
5	70	11736
6	72	10249
7	73	9142
8	75	8293
9	76	7595
10	78	7040
11	80	6591
12	81	6198
13	83	5859
14	84	5560
15	86	5301
16	87	5074
17	90	4916
18	91	4731
19	93	4568
20	94	4425
21	96	4300
22	98	4165
23	99	4052
24	101	3940
25	102	3842
26	104	3751
27	105	3666
28	107	3586
29	108	3512
30	110	3439
31	111	3378
32	113	3315
33	115	3276
34	116	3220
35	118	3167
36	119	3118
37	121	3072
38	123	3031
39	124	2990
40	126	2955
41	128	2922
42	129	2887
43	131	2852
44	132	2819
45	134	2784
46	135	2755
47	137	2726
48	139	2697
49	140	2674
50	142	2650
51	144	2626
52	145	2603
53	147	2586
54	149	2565
55	151	2558
56	153	2537
57	155	2518
58	156	2500
59	158	2481
60	160	2464
61	161	2446
62	163	2429
63	164	2411
64	166	2398
65	168	2384
66	170	2368
67	171	2353
68	173	2337
69	175	2332
70	177	2323
71	179	2309
72	180	2296
73	182	2282
74	184	2271
75	185	2259
76	187	2247
77	189	2235
78	190	2222
79	192	2214
80	194	2208
81	196	2200
82	198	2189
83	199	2179
84	201	2169
85	203	2159
86	204	2148
87	206	2138
88	208	2129
89	210	2125
90	212	2119
91	213	2111
92	215	2103
93	217	2095
94	219	2087
95	221	2082
96	222	2074
97	224	2067
98	226	2058
99	228	2052
100	230	2051
101	232	2049
102	234	2041
103	235	2032
104	237	2022
105	238	2013
106	241	2013
107	243	2012
108	246	2013
109	247	2005
110	249	1996
111	250	1986
112	252	1978
113	253	1969
114	254	1959
115	256	1952
116	258	1947
117	259	1942
118	261	1939
119	264	1938
120	266	1933
121	267	1927
122	269	1920
123	270	1912
124	273	1914
125	277	1924
126	279	1923
127	282	1926
128	284	1922
129	286	1915
130	287	1909
131	289	1904
132	291	1901
133	293	1895
134	295	1890
135	296	1885
136	298	1880
137	300	1875
138	301	1868
139	303	1862
140	304	1857
141	306	1854
142	309	1852
143	310	1848
144	312	1843
145	314	1837
146	315	1832
147	317	1827
148	318	1821
149	320	1815
150	321	1809
151	323	1804
152	325	1799
153	326	1794
154	328	1789
155	329	1784
156	331	1780
157	332	1774
158	334	1769
159	336	1766
160	337	1760
161	339	1756
162	341	1755
163	343	1751
164	345	1746
165	346	1741
166	348	1736
167	350	1733
168	351	1729
169	354	1728
170	355	1724
171	357	1719
172	358	1715
173	360	1711
174	362	1707
175	363	1702
176	365	1699
177	366	1694
178	368	1690
179	370	1687
180	371	1682
181	374	1681
182	375	1677
183	377	1673
184	379	1670
185	380	1665
186	382	1661
187	383	1656
188	385	1654
189	387	1650
